text,entity,score,date,annotator_comment,general_location,specific_location,year,season,month,day,Coordinates
"...the oldest man alive never saw but the snow was on top of divers of those hilles, both in Summer, as well as in Winter.",snow,8.0,1618,No month is mentioned in this account but is included due to its historical interest,Cairngorms Other,Cairngorms,1618.0,,,,"(57.09969, -3.6656)"
this would suggest that immediately prior to this period glaciers or permanent snowbeds extended as far as the innermost ridge.,"glaciers, snowbeds",8.0,1644,"Although no month and precise year is mentioned in this account, it is included due to historical interest",Cairngorms Other,Cairngorms,1644.0,,,,"(57.09969, -3.6656)"
"the Avin or Awen, flowing out of a small loch among the ridges of a very rugged and snow-clad mountain call Binawen",snow-clad,8.0,1662,,Beinn a' Bhuird & Ben Avon,Ben Avon,1662.0,,,,"(57.081248, -3.505238)"
"the Avin, flowing out of a small loch among the ridges of a very rugged and snow-clad mountain called Bin Awen",snow-clad,8.0,1662,,Beinn a' Bhuird & Ben Avon,Ben Avon,1662.0,,,,"(57.081248, -3.505238)"
"As the snow was deep and new fallen, Gordon was glad he had got company to cross the cairn;","snow, deep, fallen",8.0,-/02/1765,,Eastern Highlands,Cairn o'Mounth,1765.0,,2.0,,"(57.194888, -3.281276)"
...many of them topped with perpetual snow...,perpetual snow,9.0,1769,"Although no month is mentioned in this account, it is included due to historical interest",Eastern Highlands,Deeside,1769.0,,,,"(57.194888, -3.281276)"
"for example in a letter dated 13th April 1793, he mentions that snow was still lying on Inverey, and no ploughing or sowing had yet been done.",snow,7.0,13/04/1793,,Eastern Highlands,Inverey,1793.0,,4.0,13.0,"(57.194888, -3.281276)"
...there is snow to be found all the year round and their appearance is extremely romantic and truly Alpine.,snow,8.0,1795,"Although no month is mentioned in this account, it is included due to historical interest",Cairngorms Other,Cairngorms,1795.0,,,,"(57.09969, -3.6656)"
"He repeats legends about soldiers being lost in the snow, and gives a date, 1 January, 1799, for one ghastly and circumstantial story of a party of sportsmen and stalkers being destroyed by the skeletons found long afterwards still grasping their guns.",snow,4.0,01/01/1799,,Central Highlands,Forest of Gaick,1799.0,,1.0,1.0,"(56.949668, -4.608764)"
where Captain John Macpherson of Ballachroan and four attendants were overwhelmed by an avalanche of snow on the Christmas of 1799 (old style).,"avalanche, snow",8.0,25/12/1799,Not sure where this is,Cairngorms Other,The Gaick (Kingussie),1799.0,,12.0,25.0,"(57.09969, -3.6656)"
"Captain John Macpherson of Ballochroan, ""the Black Officer,"" along with four men who accompanied him to shoot deer, perished in an avalanche which descended on the bothy or hut the occupants being overwhelmed by an avalanche.",avalanche,0.0,-/01/1800,,Central Highlands,Gaick,1800.0,,1.0,,"(56.949668, -4.608764)"
"the avalanche, in the Celtic imagination, being a judgment on the Black Officer for his excess of zeal in recruiting, by which Speyside and Badenoch had been depleted of many young men.",avalanche,0.0,-/01/1800,,Central Highlands,Gaick,1800.0,,1.0,,"(56.949668, -4.608764)"
"the snow lies unmelted through the whole summer, and this singularity very soon produced a match of snowballs.","snow, unmelted",8.0,31/08/1800,July 14th - October 1st,Ben Nevis,Ben Nevis,1800.0,,8.0,31.0,"(56.796735, -5.002927)"
"the mountains above them, to the right, chequered with drifts of snow, and differing but little from it in colour; the immense rocks to the left, separated by large fissures, the safe abode of eagles; and even the precipices around, appeared to them truly majestic; nor is this saying too much, for such is the impression they naturally inspire","snow, drifts",9.0,1804,,Cairngorms Other,Glen Eunach,1804.0,,,,"(57.09969, -3.6656)"
"At twelve o'clock, we got up to the first snow, and, before one, we thought we were near the mouth (sic) of Glen Eunach, and then, depositing our champaign, lime, shrub, porter, etc., in one of the large snow-drifts, beneath an arch, from which ran a charming spring, we agreed to dine there.","snow, snow-drifts",8.0,1804,,Cairngorms Other,Glen Eunach,1804.0,,,,"(57.09969, -3.6656)"
"On 4th January, 1805, five out of a party of seven privates of the Inverness-shire Militia, on their way through the Larig to Abernethy on furlough, perished in a severe snow-storm.","snow, storm",2.0,04/01/1805,,Cairngorms Other,Learg an Laoigh,1805.0,,1.0,4.0,"(57.09969, -3.6656)"
perished in a severe snow-storm*,"snow, storm",2.0,04/01/1805,,Cairngorms Other,Learg an Laoigh,1805.0,,1.0,4.0,"(57.09969, -3.6656)"
"it was in flood at this time, from the melting of the snow, and the late rains; and, what was most remarkable, an arch of snow covered the narrow glen from which it tumbled over the rocks.","flood, melting, snow",7.0,17/07/1810,,Cairngorms Western Massif,Cairn Toul,1810.0,,7.0,17.0,"(57.066582, -3.732339)"
"It was in flood at this time, from the melting of the snow, and the late rains; and what was most remarkable, an arch of snow covered the narrow glen.","snow, melting",6.0,17/07/1810,,Cairngorms Western Massif,Braeriach,1810.0,,7.0,17.0,"(57.066582, -3.732339)"
"Distant summits, robed in snow, have indeed pretensions both to beauty and sublimity; but it is only when they mingle with the kindred hues of the atmosphere, and not when opposed to their local colour, as is evinced by these eminences.",snow,6.0,1819,,Beinn a' Bhuird & Ben Avon,Ben-y-Bourd (Beinn a Bhuird),1819.0,,,,"(57.081248, -3.505238)"
"Many of the remarks—in his description of ""Ben-y-Bourd""—are never wholly divested of snow; a circumstance which bespeaks their height, but is not any addition to their beauty.",snow,4.0,1819,,Beinn a' Bhuird & Ben Avon,Ben-y-Bourd (Beinn a Bhuird),1819.0,,,,"(57.081248, -3.505238)"
"the lake was frozen and covered with snow, and in crossing it the ice gave way, to nearly 200 perished.","frozen, snow, ice",0.0,1832,Pre 1832?,Southern Highlands,Ben Ledi,1832.0,,,,"(56.356399, -4.577326)"
some of them marked by streaks of snow.,snow,6.0,Autumn 1849,,Southern Highlands,Grampians,1849.0,Autumn,,,"(56.356399, -4.577326)"
"I came on ""an immense mass of snow, frozen so hard that it did not even give rise to a rill"" in the same corrie on 14th August, 1850.","snow, frozen",8.0,14/08/1850,,Cairngorms Western Massif,Braeriach,1850.0,,8.0,14.0,"(57.066582, -3.732339)"
Snow falling heavily.,snow,6.0,26/04/1851,,Cairngorms Other,Braemar,1851.0,,4.0,26.0,"(57.09969, -3.6656)"
Furious with drifting snow. Wind north.,drifting snow,6.0,28/04/1851,,Cairngorms Other,Braemar,1851.0,,4.0,28.0,"(57.09969, -3.6656)"
the snow is over 2 feet deep at my door. Drifts 12 feet deep on the Cairnwell.,"snow, drifts",9.0,30/04/1851,,Cairngorms Other,Braemar,1851.0,,4.0,30.0,"(57.09969, -3.6656)"
"Snow commenced to fall on the 8th current and has fallen to a good extent each day since, with a strong north wind.",snow,7.0,18/02/1853,,Cairngorms Other,Braemar,1853.0,,2.0,18.0,"(57.09969, -3.6656)"
Snow still falling.,snow,6.0,19/02/1853,,Cairngorms Other,Braemar,1853.0,,2.0,19.0,"(57.09969, -3.6656)"
The snow round my humble home is from 6 to 18 feet deep.,snow,9.0,02/03/1853,,Cairngorms Other,Braemar,1853.0,,3.0,2.0,"(57.09969, -3.6656)"
No outdoor work can be done owing to so much snow.,snow,4.0,01/04/1853,,Cairngorms Other,Braemar,1853.0,,4.0,1.0,"(57.09969, -3.6656)"
Snow has fallen less or more every day this year.,snow,5.0,13/01/1854,,Cairngorms Other,Braemar,1854.0,,1.0,13.0,"(57.09969, -3.6656)"
Snow falling again in good earnest.,snow,6.0,12/02/1854,,Cairngorms Other,Braemar,1854.0,,2.0,12.0,"(57.09969, -3.6656)"
walking through deep snow.,deep snow,7.0,14/02/1854,,Cairngorms Other,Braemar,1854.0,,2.0,14.0,"(57.09969, -3.6656)"
Was walking through deep snow.,"deep,snow",8.0,14/02/1854,,Cairngorms Other,Braemar,1854.0,,2.0,14.0,"(57.09969, -3.6656)"
Average depth of snow 4 feet and still falling.,snow,8.0,14/02/1854,,Cairngorms Other,Braemar,1854.0,,2.0,14.0,"(57.09969, -3.6656)"
I was nearly up to my middle in snow.,snow,8.0,Autumn 1858,,Other Highlands,Corryarrick,1858.0,Autumn,,,
"A heavy fall of snow to-day. Our glen has a vast majestic appearance. The snow is general, about 18 inches deep—not a black speck to be seen as far as the eye can reach.","heavy,snow",10.0,08/02/1859,,Cairngorms Other,Braemar,1859.0,,2.0,8.0,"(57.09969, -3.6656)"
We have now had eighteen weeks of snow and severe frost; we are all but shut up; communication cut off by deep snow.,"snow,deep",8.0,22/02/1860,,Cairngorms Other,Braemar,1860.0,,2.0,22.0,"(57.09969, -3.6656)"
"Closed school to-day. snow, with severe frost.","snow,severe frost",4.0,22/02/1860,,Cairngorms Other,Braemar,1860.0,,2.0,22.0,"(57.09969, -3.6656)"
the snow on Ben Macdhui had such a fine effect,snow,8.0,28/09/1861,Quote from Queen Victoria,Ben Macdui,Ben Macdui,1861.0,,9.0,28.0,"(57.070696, -3.667715)"
indicated by the great sheets of snow lying in the crevices.,"sheets, snow",8.0,03/07/1863,,Cairngorms Western Massif,Cairn Toul,1863.0,,7.0,3.0,"(57.066582, -3.732339)"
"July, on which occasion snow lay for four or five days on the top of the mountains, and there was ice one-quarter of an inch thick on the margin of the Spey—leads to the opening of Glen Enich, which is filled up with a well-grown pine forest.","snow, ice",7.0,03/07/1863,,Cairngorms Other,Glen Enich,1863.0,,7.0,3.0,"(57.09969, -3.6656)"
we lunched cooling our whisky and water from a patch of snow.,"snow, patch",7.0,03/07/1863,,Cairngorms Western Massif,Well of Dee,1863.0,,7.0,3.0,"(57.066582, -3.732339)"
"The day (October 6) was as lovely (after frost and snow on the night) as anything could be, and the whole is voted a great success.","frost, snow",8.0,06/10/1863,,Lochnagar,Lock Muick,1863.0,,10.0,6.0,"(56.954291, -3.244078)"
"We had a very steep side to come down, covered with snow and very slippery; I was put to it, and had to come very slow, but Lord C. Fitzroy, like a good Samaritan, kept me company.","snow, slippery",6.0,06/10/1863,,Lochnagar,Lock Muick,1863.0,,10.0,6.0,"(56.954291, -3.244078)"
"We had a very steep side to come down, covered with snow","snow, steep",8.0,06/10/1863,,Lochnagar,Lock Muick,1863.0,,10.0,6.0,"(56.954291, -3.244078)"
Snow commenced to fall.,snow,5.0,04/02/1864,,Cairngorms Other,Braemar,1864.0,,2.0,4.0,"(57.09969, -3.6656)"
...the fields of eternal snow...,eternal snow,9.0,1864,"Although no month is mentioned in this account, it is included due to historical interest",Ben Macdui,Ben Macdui,1864.0,,,,"(57.070696, -3.667715)"
"the fields of eternal snow, and the deep black lakes at the foot of the precipices, are full of such associations of awe and grandeur and mystery as no other scenery in Britain is capable of arousing.","eternal, snow",10.0,1864,,Ben Nevis,Ben Nevis,1864.0,,,,"(56.796735, -5.002927)"
"Loch Etchachan he compares with the lake near the Hospice of the Grimsel. Both scenes are alike ""hard, leafless, and frozen-like"".",frozen,7.0,1864,,Ben Macdui,Loch Etchachan,1864.0,,,,"(57.070696, -3.667715)"
...the inside of the snowpatch 'exemplified the sole pleasing peculiarity of the glacier - the deep blue tint that it assumes in the interior of crevasses...,"snowpatch, glacier",8.0,1864,"Although no month is mentioned in this account, it is included due to historical interest",Ben Macdui,Ben Macdui,1864.0,,,,"(57.070696, -3.667715)"
"My clothes, which had been soaking wet, were now hard and frozen over with snow.","frozen, snow",5.0,Winter 1867,,Glenshee Area,Cairnwell,1867.0,Winter,,,"(56.876858, -3.373544)"
"I saw I had no alternative but remain where I was for the night, which I did until 5am next morning. I knew from the state I was in, that if I allowed myself to cool down, that I would perish. I then started to dance, and continued dancing the whole night. About midnight I became very sleepy and hungry, and was sorry I had not a piece of bread in my pocket. I remember, so well, of my tumbling down in the snow, then fast asleep, and the sudden fall in the dry snow almost suffocated me, which caused me to waken up, and I continued my exercise as best I could.",snow,4.0,Winter 1867,,Glenshee Area,Cairnwell,1867.0,Winter,,,"(56.876858, -3.373544)"
"I calculated, that if I got over the hill all right, that I would be at my Father's house, in Mar Forest, by 10 pm. I also thought that if I went back to the Hotel, and the storm continued that I might not be able to cross the hill for some time, so I made up my mind if the hill could be crossed, that I would make the attempt, and started off, finding my way by pressing my walking stick down in the snow until I felt the iron on the end of my stick touch the road metal.",snow,5.0,Winter 1867,,Glenshee Area,Cairnwell,1867.0,Winter,,,"(56.876858, -3.373544)"
"I remember, so well, of my tumbling down in the snow, then fast asleep, and the sudden fall in the dry snow almost suffocated me, which caused me to waken up, and I continued my exercise as best I could.",snow,6.0,Winter 1867,,Glenshee Area,Cairnwell,1867.0,Winter,,,"(56.876858, -3.373544)"
"I ran (trotted) all the way from there, in the snow, to my friends house at Croftmicken, Braemar, where George McHardy then stayed; arriving there before they were out of bed.",snow,8.0,Winter 1867,,Glenshee Area,Cairnwell,1867.0,Winter,,,"(56.876858, -3.373544)"
